20191105-12:00:00   2.727000 16.62
20191106-12:00:00   2.548000 15.65
20191107-12:00:00   2.373000 14.79
20191108-12:00:00   2.207000 13.96
20191109-12:00:00   2.080000 14.15
20191110-12:00:00   1.923000 13.48
20191111-12:00:00   1.781000 13.66
20191112-12:00:00   1.678000 14.56
20191113-12:00:00   1.602000 14.22
20191114-12:00:00   1.526000 12.42
20191115-12:00:00   1.370000 11.94
20191116-12:00:00   1.301000 12.61
20191117-12:00:00   1.211000 12.27
20191118-12:00:00   1.141000 12.35
20191119-12:00:00   1.075000 12.2
20191120-12:00:00   1.013000 12.76
20191121-12:00:00   0.956300 14.67
20191122-12:00:00   1.154000 14.97
20191123-12:00:00   0.990900 15.69
20191124-12:00:00   0.994700 15.28
20191125-12:00:00   1.004000 14.45
20191126-12:00:00   1.051000 15.42
20191127-12:00:00   1.087000 16.85
20191128-12:00:00   1.129000 16.59
20191129-12:00:00   1.180000 16.17
20191130-12:00:00   1.217000 16.33
20191201-12:00:00   1.267000 14.67
20191202-12:00:00   1.293000 13.85
20191203-12:00:00   1.320000 11.83
20191204-12:00:00  21.910000 13.62
20191205-12:00:00  19.250000 12.91
20191206-12:00:00   3.516000 15.12
20191207-12:00:00   4.221000 14.41
20191208-12:00:00   4.820000 14.67
20191209-12:00:00   4.988000 14.3
20191210-12:00:00   4.991000 12.42
20191211-12:00:00   4.862000 13.44
20191212-12:00:00   4.667000 11.98
20191213-12:00:00   4.430000 15.2
20191214-12:00:00   4.110000 16.4
20191215-12:00:00   3.899000 15.24
20191216-12:00:00   3.578000 15.27
20191217-12:00:00   3.272000 16.17
20191218-12:00:00   3.313000 15.95
20191219-12:00:00   3.025000 14.98
20191220-12:00:00   2.772000 16.17
20191221-12:00:00   2.539000 17.04
20191222-12:00:00   2.340000 16.55
20191223-12:00:00   2.172000 14.64
20191224-12:00:00   2.134000 14.52
20191225-12:00:00   1.980000 16.48
20191226-12:00:00   1.944000 15.2
20191227-12:00:00   1.795000 14.49
20191228-12:00:00   1.697000 13.96
20191229-12:00:00   1.604000 13.29
20191230-12:00:00   1.528000 13.33
20191231-12:00:00   1.439000 13.7
20200101-12:00:00   1.375000 12.61
20200102-12:00:00   1.303000 12.65
20200103-12:00:00   1.257000 12.39
20200104-12:00:00   1.200000 13.55
20200105-12:00:00   1.146000 14.23
20200106-12:00:00   1.099000 13.62
20200107-12:00:00   1.061000 13.92
